task_type,dataset_id,student_model_name_or_path,teacher_model_name_or_path,learning_rate,batch_size,kd_alpha,kd_temperature,kd_loss_type,completed_epochs,validation_loss,validation_f1,validation_exact_match,experiment_elapsed_time
question-answering,mlqa,josecannete/albert-base-spanish-8,CenIA/albert-xxlarge-spanish-finetuned-qa-mlqa,5e-05,64,0.0,1.0,kldiv,34,2.006987288594246,69.93852993986195,43.4,25532.12508058548
question-answering,mlqa,josecannete/albert-base-spanish-8,CenIA/albert-xxlarge-spanish-finetuned-qa-mlqa,5e-05,32,0.0,1.0,kldiv,23,2.016652747988701,70.19592040393559,44.4,16081.615463256836
question-answering,mlqa,josecannete/albert-base-spanish-8,CenIA/albert-xxlarge-spanish-finetuned-qa-mlqa,5e-05,16,0.0,1.0,kldiv,39,2.0101622566580772,69.29983384399456,43.6,25441.813316345215
question-answering,mlqa,josecannete/albert-base-spanish-8,CenIA/albert-xxlarge-spanish-finetuned-qa-mlqa,0.0001,64,0.0,1.0,kldiv,32,1.992730900645256,68.74040528270888,43.0,24026.605845928192
question-answering,mlqa,josecannete/albert-base-spanish-8,CenIA/albert-xxlarge-spanish-finetuned-qa-mlqa,0.0001,32,0.0,1.0,kldiv,31,2.024923376739025,68.894792134158,43.6,21576.666486263275
question-answering,mlqa,josecannete/albert-base-spanish-8,CenIA/albert-xxlarge-spanish-finetuned-qa-mlqa,0.0001,16,0.0,1.0,kldiv,31,2.038049388676882,68.38342806166767,42.8,20241.648977041245
question-answering,sqac,josecannete/albert-base-spanish-8,CenIA/albert-xxlarge-spanish-finetuned-qa-sqac,5e-05,64,0.0,1.0,kldiv,38,0.996477788144892,75.05451910899728,57.13519313304721,10801.47697353363
question-answering,sqac,josecannete/albert-base-spanish-8,CenIA/albert-xxlarge-spanish-finetuned-qa-sqac,5e-05,32,0.0,1.0,kldiv,39,0.9344621056860144,76.56446834621705,60.35407725321888,10826.243371725082
question-answering,sqac,josecannete/albert-base-spanish-8,CenIA/albert-xxlarge-spanish-finetuned-qa-sqac,5e-05,16,0.0,1.0,kldiv,41,0.8991506412511564,77.78460406741418,60.67596566523605,10864.428711891174
question-answering,sqac,josecannete/albert-base-spanish-8,CenIA/albert-xxlarge-spanish-finetuned-qa-sqac,0.0001,64,0.0,1.0,kldiv,50,0.8782466324892911,77.43888349731571,60.622317596566525,13930.60534954071
question-answering,sqac,josecannete/albert-base-spanish-8,CenIA/albert-xxlarge-spanish-finetuned-qa-sqac,0.0001,32,0.0,1.0,kldiv,44,0.9216955557014003,76.80237269076748,60.35407725321888,12107.010199308395
question-answering,sqac,josecannete/albert-base-spanish-8,CenIA/albert-xxlarge-spanish-finetuned-qa-sqac,0.0001,16,0.0,1.0,kldiv,18,0.9981770615541298,73.00730682950613,55.68669527896996,5183.2015862464905
question-answering,tar,josecannete/albert-base-spanish-8,CenIA/albert-xxlarge-spanish-finetuned-qa-tar,5e-05,64,0.0,1.0,kldiv,28,1.5122166480644639,76.71711669188873,59.659413434247874,25862.735461711884
question-answering,tar,josecannete/albert-base-spanish-8,CenIA/albert-xxlarge-spanish-finetuned-qa-tar,5e-05,32,0.0,1.0,kldiv,29,1.492357887237905,77.3714406655262,60.8325449385052,24762.471807718277
question-answering,tar,josecannete/albert-base-spanish-8,CenIA/albert-xxlarge-spanish-finetuned-qa-tar,5e-05,16,0.0,1.0,kldiv,36,1.4850917993315371,77.41714416421608,60.60548722800378,28460.55556702614
question-answering,tar,josecannete/albert-base-spanish-8,CenIA/albert-xxlarge-spanish-finetuned-qa-tar,0.0001,64,0.0,1.0,kldiv,41,1.4855311175426804,77.67496616907138,60.719016083254495,36667.7343184948
question-answering,tar,josecannete/albert-base-spanish-8,CenIA/albert-xxlarge-spanish-finetuned-qa-tar,0.0001,32,0.0,1.0,kldiv,34,1.490369284009359,76.97323759059834,59.735099337748345,28801.239670038223
question-answering,tar,josecannete/albert-base-spanish-8,CenIA/albert-xxlarge-spanish-finetuned-qa-tar,0.0001,16,0.0,1.0,kldiv,50,1.5025198269096842,76.84653680395627,59.962157048249765,38871.46198177338
